1,Respondent,MainBranch,Country,DatabaseWorkedWith,DevType,LanguageWorkedWith,NEWCollabToolsWorkedWith,OpSys,PlatformWorkedWith,UndergradMajor
75,4563,I am a developer by profession,India,Firebase;SQLite,"Designer;Developer, back-end;Developer, front-end;Developer, full-stack;Developer, mobile",Dart;Java;Kotlin,Github;Gitlab;Slack,MacOS,Android;Google Cloud Platform,"Computer science, computer engineering, or software engineering"
76,4654,I am a developer by profession,India,Elasticsearch;MariaDB;MySQL;Oracle;PostgreSQL,"Developer, back-end;Developer, front-end;Developer, full-stack",HTML/CSS;Java;JavaScript;PHP,"Jira;Github;Slack;Google Suite (Docs, Meet, etc)",Linux-based,AWS;Docker;Google Cloud Platform;Linux;WordPress,"Computer science, computer engineering, or software engineering"
77,4808,I am a developer by profession,India,MySQL,"Developer, back-end;Developer, full-stack",HTML/CSS;JavaScript;PHP;SQL,Jira;Github;Gitlab;Slack;Microsoft Teams;Trello,Linux-based,AWS;Google Cloud Platform;WordPress,"Computer science, computer engineering, or software engineering"
78,4874,I am a developer by profession,India,Elasticsearch;Firebase;MySQL;Redis,"Data or business analyst;Data scientist or machine learning specialist;Developer, back-end;Developer, front-end;Developer, full-stack",HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript,Jira;Github;Gitlab,Linux-based,AWS;IBM Cloud or Watson;Linux;WordPress,"Information systems, information technology, or system administration"
79,4970,I am a developer by profession,India,Cassandra;Microsoft SQL Server;Oracle;PostgreSQL;Redis,"Database administrator;Developer, back-end;Developer, desktop or enterprise applications;Developer, embedded applications or devices;Developer, front-end;Developer, full-stack;DevOps specialist",C;C#;HTML/CSS;Java;JavaScript;Python;Ruby;SQL;TypeScript,Github;Gitlab;Slack;Microsoft Teams;Microsoft Azure,Windows,Docker;Linux;MacOS;Microsoft Azure;Windows,"Computer science, computer engineering, or software engineering"
80,5060,I code primarily as a hobby,India,Microsoft SQL Server,"Designer;Developer, desktop or enterprise applications;Developer, front-end;Developer, full-stack;Developer, game or graphics",C;C++;HTML/CSS;JavaScript;Python;SQL;VBA,Microsoft Teams;Stack Overflow for Teams,Windows,Windows,Mathematics or statistics
81,5083,I am a developer by profession,India,Microsoft SQL Server;Oracle;PostgreSQL,"Developer, full-stack",Bash/Shell/PowerShell;C#;Java;JavaScript;SQL;TypeScript,Confluence;Jira;Github;Slack;Microsoft Azure,Windows,Docker;Microsoft Azure;Windows,"Another engineering discipline (such as civil, electrical, mechanical, etc.)"
82,5254,I am a developer by profession,India,PostgreSQL,"Developer, full-stack",C#;HTML/CSS;JavaScript;SQL,Gitlab;Microsoft Teams,Windows,Microsoft Azure;Windows,"Computer science, computer engineering, or software engineering"
83,5347,I am a developer by profession,India,Microsoft SQL Server;MySQL;Redis,"Developer, back-end;Developer, full-stack",C#;C++;HTML/CSS;Java;JavaScript;SQL,Github;Gitlab;Microsoft Teams;Microsoft Azure,Windows,Microsoft Azure;Raspberry Pi;Windows,"Computer science, computer engineering, or software engineering"
84,5367,I am a developer by profession,India,DynamoDB,"Developer, front-end;Developer, full-stack",HTML/CSS;JavaScript,Github;Gitlab;Slack,Linux-based,AWS;Docker;Linux,"Computer science, computer engineering, or software engineering"
85,5397,I am a student who is learning to code,India,MongoDB;MySQL;Oracle,"Designer;Developer, back-end;Developer, desktop or enterprise applications;Developer, full-stack;Developer, mobile",C;C++;HTML/CSS;Java;Python;SQL,Github;Slack;Trello,Windows,Google Cloud Platform;WordPress,"Another engineering discipline (such as civil, electrical, mechanical, etc.)"
86,5406,I am a developer by profession,India,Cassandra;DynamoDB;Elasticsearch;MariaDB;MongoDB;MySQL;PostgreSQL;Redis,"Developer, back-end;Developer, full-stack;Engineer, data;Scientist",Bash/Shell/PowerShell;Go;HTML/CSS;Java;JavaScript;Python;SQL,"Confluence;Jira;Github;Gitlab;Slack;Microsoft Teams;Trello;Google Suite (Docs, Meet, etc)",Linux-based,AWS;Docker;Linux;MacOS;Slack Apps and Integrations,"Computer science, computer engineering, or software engineering"
