1,Respondent,MainBranch,Country,DatabaseWorkedWith,DevType,LanguageWorkedWith,NEWCollabToolsWorkedWith,OpSys,PlatformWorkedWith,UndergradMajor
2104,29112,I am a developer by profession,India,SQLite,"Academic researcher;Designer;Developer, back-end;Developer, desktop or enterprise applications;Developer, front-end;Developer, mobile;Developer, QA or test;Educator;Engineer, data",JavaScript;Objective-C;Swift,Confluence;Jira;Github;Gitlab;Slack;Microsoft Teams;Microsoft Azure,MacOS,iOS;Windows,"Information systems, information technology, or system administration"
2105,29133,I am a developer by profession,India,DynamoDB;Microsoft SQL Server,"Developer, back-end;Developer, full-stack",C#;JavaScript;TypeScript,Github;Slack;Microsoft Teams,Linux-based,Microsoft Azure,"Computer science, computer engineering, or software engineering"
2106,29135,I am a developer by profession,India,Elasticsearch;MongoDB;PostgreSQL,"Developer, front-end",HTML/CSS;JavaScript;PHP;TypeScript,"Confluence;Jira;Github;Microsoft Teams;Microsoft Azure;Google Suite (Docs, Meet, etc);Stack Overflow for Teams",Windows,Android;Microsoft Azure;Windows,"Computer science, computer engineering, or software engineering"
2107,29186,I am a developer by profession,India,Microsoft SQL Server;MySQL;Oracle;PostgreSQL,"Database administrator;Designer;Developer, back-end;Developer, desktop or enterprise applications;Developer, full-stack;Developer, QA or test;System administrator",Bash/Shell/PowerShell;C;C++;HTML/CSS;Java;JavaScript;PHP;SQL;TypeScript,"Jira;Github;Microsoft Teams;Google Suite (Docs, Meet, etc)",Windows,Linux;Windows,"Computer science, computer engineering, or software engineering"
2108,29188,I am a developer by profession,India,DynamoDB;Microsoft SQL Server;MongoDB;MySQL;Redis,"Developer, back-end;Developer, full-stack",Java;JavaScript;TypeScript,Confluence;Jira;Github,MacOS,AWS;Docker;Linux;MacOS;Raspberry Pi,"Computer science, computer engineering, or software engineering"
2109,29196,I am a developer by profession,India,Firebase;MySQL;SQLite,"Developer, mobile",C;Java;Kotlin;Python,Github,Windows,Android;WordPress,"Computer science, computer engineering, or software engineering"
2110,29219,I am a developer by profession,India,Firebase;MongoDB;MySQL,"Developer, front-end;Developer, full-stack;Educator",HTML/CSS;JavaScript;Kotlin;Python;TypeScript,"Confluence;Jira;Github;Google Suite (Docs, Meet, etc)",MacOS,Android;Google Cloud Platform;IBM Cloud or Watson;WordPress,"Computer science, computer engineering, or software engineering"
2111,29245,I am a developer by profession,India,Microsoft SQL Server,"Developer, back-end;Developer, desktop or enterprise applications;Developer, full-stack",C;C#;C++;HTML/CSS;Java;JavaScript;SQL,Github,Windows,Windows,"Computer science, computer engineering, or software engineering"
2112,29264,"I am not primarily a developer, but I write code sometimes as part of my work",India,SQLite,"Developer, back-end;Developer, QA or test;DevOps specialist;Engineer, data;Engineer, site reliability;Scientist",Bash/Shell/PowerShell,Trello;Stack Overflow for Teams,MacOS,Kubernetes,"Computer science, computer engineering, or software engineering"
2113,29267,I am a developer by profession,India,Microsoft SQL Server;MySQL,"Developer, back-end;Developer, full-stack",Java;JavaScript;SQL,Jira;Github,Windows,Windows,Web development or web design
2114,29274,I am a developer by profession,India,MySQL,"Developer, back-end",HTML/CSS;JavaScript;PHP,Github,Linux-based,Linux,"Computer science, computer engineering, or software engineering"
2115,29279,I am a developer by profession,India,MySQL;SQLite,Data or business analyst;Data scientist or machine learning specialist,C;C++;Python,Github;Gitlab;Slack,Windows,Android;Docker;Linux;Windows,Mathematics or statistics
2116,29286,I am a developer by profession,India,Microsoft SQL Server;MySQL;Oracle;SQLite,"Developer, back-end",Bash/Shell/PowerShell;HTML/CSS;Java;JavaScript;Perl;SQL,Jira;Github;Gitlab;Microsoft Teams,Windows,AWS;Linux;Windows,"Another engineering discipline (such as civil, electrical, mechanical, etc.)"
2117,29313,I am a developer by profession,India,Elasticsearch;MongoDB;Redis;SQLite,"Developer, full-stack;Engineering manager;Product manager",Bash/Shell/PowerShell;HTML/CSS;JavaScript;Python;TypeScript,"Jira;Github;Microsoft Teams;Google Suite (Docs, Meet, etc)",Linux-based,Android;Arduino;Docker;Raspberry Pi,"Computer science, computer engineering, or software engineering"
2118,29368,I am a developer by profession,India,IBM DB2;MongoDB;MySQL;PostgreSQL;Redis,"Data scientist or machine learning specialist;Developer, full-stack",HTML/CSS;JavaScript;Python;SQL;TypeScript;VBA,Github;Gitlab;Slack;Trello,Windows,AWS;Docker;Heroku;IBM Cloud or Watson;Linux;Slack Apps and Integrations;Windows,"Another engineering discipline (such as civil, electrical, mechanical, etc.)"
2119,29375,"I am not primarily a developer, but I write code sometimes as part of my work",India,Cassandra;DynamoDB;Elasticsearch;IBM DB2;MariaDB;MongoDB;MySQL;PostgreSQL;Redis;SQLite,DevOps specialist,Bash/Shell/PowerShell;C;C++;Go;HTML/CSS;Java;Perl;Python;SQL,Confluence;Jira;Github;Gitlab;Microsoft Teams;Microsoft Azure,MacOS,AWS;Docker;Google Cloud Platform;Kubernetes;Linux;MacOS;Microsoft Azure;Windows,"Computer science, computer engineering, or software engineering"
2120,29393,I am a developer by profession,India,Firebase;SQLite,"Developer, mobile",C;C++;Java;Kotlin,"Jira;Github;Slack;Google Suite (Docs, Meet, etc)",MacOS,Android,"Computer science, computer engineering, or software engineering"
2121,29405,I am a developer by profession,India,Cassandra;PostgreSQL;Redis;SQLite,"Developer, back-end;Developer, full-stack;Developer, QA or test;DevOps specialist",Bash/Shell/PowerShell;Go;JavaScript;Python,"Confluence;Jira;Github;Gitlab;Slack;Google Suite (Docs, Meet, etc)",Linux-based,Docker;Google Cloud Platform;Linux;MacOS,"Another engineering discipline (such as civil, electrical, mechanical, etc.)"
2122,29408,I am a developer by profession,India,Firebase;Microsoft SQL Server;MySQL;SQLite,"Designer;Developer, back-end;Developer, front-end;Developer, full-stack;Developer, game or graphics;Developer, mobile",C#;HTML/CSS;Java;JavaScript;Python;SQL,Github;Gitlab;Slack,Linux-based,Android;Arduino;Raspberry Pi,"Computer science, computer engineering, or software engineering"
2123,29439,I am a developer by profession,India,MongoDB,"Developer, full-stack",HTML/CSS;JavaScript;TypeScript,"Jira;Github;Gitlab;Slack;Trello;Google Suite (Docs, Meet, etc)",Linux-based,AWS;Linux;Slack Apps and Integrations;Windows,"Another engineering discipline (such as civil, electrical, mechanical, etc.)"
2124,29444,I am a developer by profession,India,Elasticsearch;MongoDB;MySQL;PostgreSQL;Redis,"Developer, back-end;Developer, front-end;Developer, full-stack;Developer, mobile;DevOps specialist;Engineering manager",JavaScript;TypeScript,"Confluence;Jira;Github;Gitlab;Slack;Microsoft Azure;Trello;Google Suite (Docs, Meet, etc)",MacOS,AWS;Docker;Google Cloud Platform;Linux;MacOS,"Computer science, computer engineering, or software engineering"
2125,29454,I am a developer by profession,India,MongoDB;MySQL;Oracle,"Developer, full-stack",HTML/CSS;JavaScript;PHP;SQL;TypeScript,Jira;Github;Gitlab,Linux-based,AWS;Linux;Windows,"Computer science, computer engineering, or software engineering"
2126,29459,I am a student who is learning to code,India,MariaDB;MySQL,"Developer, back-end",HTML/CSS;JavaScript;PHP;SQL,Github,Windows,Windows;WordPress,"A business discipline (such as accounting, finance, marketing, etc.)"
2127,29468,I am a developer by profession,India,Cassandra;DynamoDB;MySQL;PostgreSQL;Redis,"Developer, back-end;Developer, front-end;Developer, full-stack",Assembly;Bash/Shell/PowerShell;C;C#;C++;Haskell;Java;JavaScript,"Confluence;Jira;Github;Slack;Trello;Google Suite (Docs, Meet, etc)",MacOS,AWS;Docker;Kubernetes;Linux;MacOS,"Computer science, computer engineering, or software engineering"
2128,29470,I am a developer by profession,India,Microsoft SQL Server;MongoDB;MySQL;Oracle;SQLite,"Developer, back-end;Developer, desktop or enterprise applications",C#;Java;SQL;VBA,Github;Gitlab;Microsoft Teams,Windows,Windows,"A natural science (such as biology, chemistry, physics, etc.)"
2129,29476,I am a developer by profession,India,Elasticsearch;Firebase;MongoDB;PostgreSQL,"Developer, full-stack",JavaScript,"Confluence;Jira;Github;Google Suite (Docs, Meet, etc)",MacOS,Google Cloud Platform,"Computer science, computer engineering, or software engineering"
2130,29480,I am a developer by profession,India,MySQL;Oracle;SQLite,"Developer, back-end;Developer, full-stack",C;HTML/CSS;Java;Python,Github;Microsoft Teams,Windows,Linux;Windows,"Computer science, computer engineering, or software engineering"
2131,29489,I am a developer by profession,India,MariaDB;Microsoft SQL Server;MongoDB;MySQL,"Developer, full-stack",C++;HTML/CSS;Java;JavaScript;PHP;Python;SQL,"Jira;Github;Gitlab;Trello;Google Suite (Docs, Meet, etc);Stack Overflow for Teams",MacOS,Heroku;Linux;MacOS;Windows,"Computer science, computer engineering, or software engineering"
2132,29493,I am a developer by profession,India,Oracle;Redis,"Developer, back-end;Developer, full-stack;Engineer, data",HTML/CSS;Java;JavaScript;Python;SQL,Jira;Github;Slack,MacOS,AWS;Docker;MacOS,"Computer science, computer engineering, or software engineering"
2133,29494,I am a developer by profession,India,Microsoft SQL Server,"Developer, full-stack",C#;JavaScript;Python;SQL;TypeScript,Jira;Github;Gitlab;Microsoft Teams;Microsoft Azure,Windows,Docker;Microsoft Azure;Windows,"Computer science, computer engineering, or software engineering"
2134,29523,I am a developer by profession,India,MongoDB;MySQL;PostgreSQL;SQLite,"Developer, back-end;Developer, QA or test",C;C++;Perl;PHP;Python;Ruby;SQL,Jira;Github;Slack;Trello,Linux-based,AWS;Docker;Kubernetes;Linux;Windows,"Computer science, computer engineering, or software engineering"
2135,29528,I am a developer by profession,India,Elasticsearch;Firebase;MariaDB;MongoDB;MySQL;Redis;SQLite,"Developer, back-end;Developer, front-end;Developer, full-stack",Go;HTML/CSS;JavaScript;PHP;Python;SQL,"Confluence;Jira;Github;Slack;Trello;Google Suite (Docs, Meet, etc)",Linux-based,Arduino;AWS;Docker;Google Cloud Platform;Heroku;Linux;WordPress,"Computer science, computer engineering, or software engineering"
2136,29538,I am a developer by profession,India,Oracle;PostgreSQL,"Developer, back-end;Developer, desktop or enterprise applications;Developer, front-end;Developer, full-stack",Java;SQL,Confluence;Jira;Github,Windows,Linux;Windows,"Information systems, information technology, or system administration"
2137,29540,I am a developer by profession,India,DynamoDB;Elasticsearch;MySQL;SQLite,"Data or business analyst;Developer, full-stack;DevOps specialist;Engineer, site reliability;Engineering manager",Bash/Shell/PowerShell;C;HTML/CSS;Perl;PHP;Python;SQL,Confluence;Jira;Github;Slack;Microsoft Azure;Trello,Linux-based,AWS;Docker;Google Cloud Platform;Kubernetes;Linux;Microsoft Azure,"Computer science, computer engineering, or software engineering"
2138,29542,I am a developer by profession,India,DynamoDB;MongoDB;MySQL,"Designer;Developer, back-end;Developer, front-end;Developer, full-stack",C;HTML/CSS;JavaScript;PHP;TypeScript,"Jira;Github;Slack;Google Suite (Docs, Meet, etc)",MacOS,Android;AWS;Google Cloud Platform;Heroku;Linux;MacOS;Slack Apps and Integrations;Windows,"Computer science, computer engineering, or software engineering"
2139,29551,I am a developer by profession,India,MariaDB;MySQL;PostgreSQL;SQLite,"Developer, back-end;Developer, full-stack;Educator",Bash/Shell/PowerShell;Go;HTML/CSS;JavaScript;PHP;Python;SQL;VBA,Github;Gitlab;Slack,Linux-based,AWS;Docker;Google Cloud Platform;Linux;Slack Apps and Integrations;WordPress,"Computer science, computer engineering, or software engineering"
2140,29559,I am a developer by profession,India,Firebase;Microsoft SQL Server;MongoDB;MySQL;SQLite,"Developer, full-stack",Bash/Shell/PowerShell;C;C#;C++;HTML/CSS;Java;JavaScript;PHP;SQL;TypeScript,Github;Gitlab;Trello,MacOS,Android;AWS,"Computer science, computer engineering, or software engineering"
2141,29587,I am a developer by profession,India,MySQL;Oracle;PostgreSQL,"Developer, back-end;Developer, desktop or enterprise applications",Bash/Shell/PowerShell;C;C++;Python,Jira;Github,Linux-based,Linux;Windows,"Computer science, computer engineering, or software engineering"
2142,29595,I am a developer by profession,India,IBM DB2;MariaDB;MySQL;Oracle,"Developer, full-stack",Java;SQL;TypeScript,Jira;Github;Slack,Windows,Windows,"Computer science, computer engineering, or software engineering"
2143,29598,I am a student who is learning to code,India,MongoDB;MySQL;SQLite,"Designer;Developer, back-end;Developer, front-end;Developer, full-stack;Developer, mobile",C;C++;HTML/CSS;Java;JavaScript;PHP;Python;SQL,Github,Windows,Microsoft Azure;WordPress,"Computer science, computer engineering, or software engineering"
2144,29604,I am a developer by profession,India,PostgreSQL,"Data scientist or machine learning specialist;Developer, full-stack",HTML/CSS;JavaScript;Python;SQL;TypeScript,"Jira;Github;Google Suite (Docs, Meet, etc)",Linux-based,AWS;Linux;Windows,"Computer science, computer engineering, or software engineering"
2145,29620,I am a developer by profession,India,Microsoft SQL Server,"Developer, back-end;Developer, front-end;Developer, full-stack",C#;HTML/CSS;JavaScript;SQL;TypeScript,"Github;Slack;Microsoft Azure;Trello;Google Suite (Docs, Meet, etc)",Windows,Android;Microsoft Azure;Slack Apps and Integrations;Windows,"Another engineering discipline (such as civil, electrical, mechanical, etc.)"
2146,29633,I am a developer by profession,India,MongoDB;MySQL;Oracle;SQLite,"Developer, back-end;Developer, desktop or enterprise applications;Developer, front-end;Developer, full-stack",HTML/CSS;JavaScript;PHP;SQL;TypeScript,"Jira;Github;Gitlab;Slack;Microsoft Azure;Google Suite (Docs, Meet, etc)",Linux-based,Linux;Windows,"Computer science, computer engineering, or software engineering"
2147,29642,I am a developer by profession,India,Microsoft SQL Server;PostgreSQL,"Developer, back-end;Developer, desktop or enterprise applications;Developer, front-end;Developer, full-stack",C#;JavaScript;SQL;VBA,Microsoft Azure,Windows,Linux;Windows,"A business discipline (such as accounting, finance, marketing, etc.)"
2148,29650,I am a developer by profession,India,MySQL,"Academic researcher;Database administrator;Developer, back-end;Developer, full-stack",C;C++;HTML/CSS;JavaScript;PHP;Python;SQL,Github,Windows,WordPress,"Information systems, information technology, or system administration"
2149,29700,I am a developer by profession,India,MongoDB,"Developer, full-stack;Developer, game or graphics;Developer, mobile",HTML/CSS;JavaScript;Python;TypeScript,Github;Gitlab;Slack,Linux-based,Android;Arduino;Linux;Raspberry Pi,"Computer science, computer engineering, or software engineering"
2150,29707,I am a developer by profession,India,PostgreSQL;Redis,"Developer, back-end;DevOps specialist;Engineering manager",Bash/Shell/PowerShell;Ruby;SQL,"Github;Gitlab;Slack;Google Suite (Docs, Meet, etc)",Linux-based,AWS;Docker;Kubernetes;Linux;MacOS,"Information systems, information technology, or system administration"
2151,29732,I am a student who is learning to code,India,PostgreSQL,"Developer, back-end",Bash/Shell/PowerShell;HTML/CSS;JavaScript;Python,"Github;Slack;Google Suite (Docs, Meet, etc)",Linux-based,Linux,"Computer science, computer engineering, or software engineering"
2152,29770,I am a developer by profession,India,Microsoft SQL Server;MongoDB;MySQL;Oracle;PostgreSQL;SQLite,"Developer, desktop or enterprise applications;Developer, front-end;Developer, full-stack",C;C++;HTML/CSS;Java;JavaScript;TypeScript,"Jira;Github;Gitlab;Google Suite (Docs, Meet, etc)",Windows,AWS;Linux;Slack Apps and Integrations;Windows,"Another engineering discipline (such as civil, electrical, mechanical, etc.)"
2153,29877,I am a developer by profession,India,Firebase;MySQL;PostgreSQL;Redis;SQLite,"Developer, back-end;Developer, desktop or enterprise applications;Developer, front-end;Developer, full-stack",Bash/Shell/PowerShell;HTML/CSS;Python;SQL;TypeScript,Jira;Github;Gitlab;Microsoft Teams,Windows,AWS;Docker,"Another engineering discipline (such as civil, electrical, mechanical, etc.)"
2154,30004,"I am not primarily a developer, but I write code sometimes as part of my work",India,Elasticsearch;MySQL;PostgreSQL,"Data or business analyst;Data scientist or machine learning specialist;Developer, full-stack",Bash/Shell/PowerShell;HTML/CSS;Python;R;SQL,"Github;Gitlab;Slack;Trello;Google Suite (Docs, Meet, etc)",Linux-based,Google Cloud Platform;Linux;Windows,"Another engineering discipline (such as civil, electrical, mechanical, etc.)"
2155,30064,I am a developer by profession,India,Redis,"Developer, back-end;Developer, front-end;Developer, full-stack;Developer, mobile",Bash/Shell/PowerShell;Java;JavaScript;Perl;SQL,Github,MacOS,AWS,"Computer science, computer engineering, or software engineering"
2156,30087,I am a developer by profession,India,Microsoft SQL Server;MySQL,"Database administrator;Developer, back-end;Developer, desktop or enterprise applications;Developer, front-end;Developer, full-stack",C#;HTML/CSS;JavaScript;SQL,Github,Windows,Linux;Windows;WordPress,"Information systems, information technology, or system administration"
2157,30272,I am a developer by profession,India,MySQL;Oracle,"Developer, back-end",Java;Python;SQL,"Jira;Github;Slack;Google Suite (Docs, Meet, etc);Stack Overflow for Teams",MacOS,AWS;Kubernetes,"Another engineering discipline (such as civil, electrical, mechanical, etc.)"
2158,30281,I am a developer by profession,India,PostgreSQL;Redis;SQLite,"Developer, back-end;Developer, full-stack",Go;Haskell;Java;Kotlin;Scala,Jira;Github,MacOS,Android;Docker;Google Cloud Platform;Kubernetes;Linux,"Computer science, computer engineering, or software engineering"
2159,30287,I am a developer by profession,India,MySQL;PostgreSQL,"Developer, back-end;Developer, front-end;Developer, full-stack;Developer, mobile",C++;HTML/CSS;JavaScript;SQL,Jira;Github;Slack,Linux-based,AWS,"Computer science, computer engineering, or software engineering"
2160,30297,I am a developer by profession,India,Microsoft SQL Server,"Developer, back-end",C#;HTML/CSS;SQL,Confluence;Jira;Github;Slack,Windows,Windows,"Another engineering discipline (such as civil, electrical, mechanical, etc.)"
2161,30310,"I am not primarily a developer, but I write code sometimes as part of my work",India,MySQL;PostgreSQL;SQLite,Data or business analyst;Data scientist or machine learning specialist,Python,"Github;Slack;Microsoft Teams;Google Suite (Docs, Meet, etc)",Linux-based,Linux;Windows,"Another engineering discipline (such as civil, electrical, mechanical, etc.)"
2162,30327,I am a developer by profession,India,Firebase;MySQL,"Developer, mobile",Java;Kotlin;PHP,Slack,MacOS,Android;WordPress,"Computer science, computer engineering, or software engineering"
2163,30350,I am a developer by profession,India,Elasticsearch;Firebase;MariaDB;MySQL,"Database administrator;Designer;Developer, back-end;Developer, front-end;Product manager",Bash/Shell/PowerShell;C;C#;HTML/CSS;Java;JavaScript;PHP;SQL;TypeScript,Github;Gitlab;Slack;Trello;Stack Overflow for Teams,Windows,AWS;Kubernetes;Linux,Web development or web design
2164,30356,I am a developer by profession,India,MySQL;Redis;SQLite,"Developer, back-end;Developer, front-end;Developer, full-stack",JavaScript;PHP;SQL;TypeScript,Jira;Github,Linux-based,AWS;Linux;MacOS;Windows;WordPress,"Computer science, computer engineering, or software engineering"
2165,30362,I am a developer by profession,India,MongoDB;MySQL;SQLite,"Developer, embedded applications or devices;Developer, mobile",Java;JavaScript;Objective-C;Swift;TypeScript,Jira;Github;Gitlab;Slack;Trello;Stack Overflow for Teams,MacOS,Android;AWS;Google Cloud Platform;Heroku;iOS;MacOS,"Computer science, computer engineering, or software engineering"
2166,30363,I am a developer by profession,India,SQLite,"Developer, back-end;Engineer, data",C++;Swift,Confluence;Jira;Github,Linux-based,Android;iOS;Linux;MacOS;Windows,"Computer science, computer engineering, or software engineering"
2167,30367,I am a developer by profession,India,DynamoDB;MySQL;Oracle,"Developer, back-end;Developer, front-end;Developer, full-stack",Bash/Shell/PowerShell;C;C++;HTML/CSS;Java;JavaScript;Python;SQL,Github,MacOS,AWS;Linux,"Computer science, computer engineering, or software engineering"
2168,30398,I am a developer by profession,India,Elasticsearch;MySQL;Redis,"Data or business analyst;Database administrator;Developer, back-end;Developer, full-stack",JavaScript;PHP,Github;Slack,Linux-based,Linux,"Computer science, computer engineering, or software engineering"
2169,30400,I am a developer by profession,India,MariaDB;MySQL,"Developer, back-end;Developer, front-end",HTML/CSS;JavaScript;PHP;SQL;TypeScript,Github;Gitlab,Linux-based,Linux;WordPress,"Computer science, computer engineering, or software engineering"
2170,30405,I am a developer by profession,India,MongoDB;PostgreSQL,"Developer, front-end;Developer, full-stack",HTML/CSS;JavaScript;TypeScript,Github;Gitlab;Trello,Windows,Android;Heroku;Windows;WordPress,"Computer science, computer engineering, or software engineering"
2171,30409,I am a developer by profession,India,Cassandra;Microsoft SQL Server;Oracle;PostgreSQL,"Designer;Developer, back-end;Developer, desktop or enterprise applications;DevOps specialist",C;C++;HTML/CSS;Java;JavaScript,"Confluence;Jira;Github;Slack;Microsoft Teams;Google Suite (Docs, Meet, etc)",Linux-based,AWS;Docker;Kubernetes;Linux,"Computer science, computer engineering, or software engineering"
2172,30432,I am a developer by profession,India,Microsoft SQL Server;MySQL,"Designer;Developer, front-end;Developer, full-stack;Engineering manager",HTML/CSS;JavaScript;PHP,"Confluence;Jira;Github;Gitlab;Slack;Trello;Google Suite (Docs, Meet, etc);Stack Overflow for Teams",MacOS,AWS;Docker;WordPress,Web development or web design
2173,30442,I am a developer by profession,India,Microsoft SQL Server,"Developer, desktop or enterprise applications;Developer, front-end;Developer, mobile",C#;HTML/CSS,"Microsoft Azure;Google Suite (Docs, Meet, etc)",Windows,Windows,"Computer science, computer engineering, or software engineering"
2174,30445,I am a student who is learning to code,India,Microsoft SQL Server;MongoDB;MySQL;SQLite,"Developer, desktop or enterprise applications;Developer, front-end;Developer, full-stack;Developer, mobile;Educator;Engineer, data",HTML/CSS;Java;JavaScript;PHP;Python;SQL,"Github;Slack;Microsoft Teams;Microsoft Azure;Google Suite (Docs, Meet, etc);Stack Overflow for Teams",Windows,Android,"Computer science, computer engineering, or software engineering"
2175,30446,I am a developer by profession,India,DynamoDB;Elasticsearch;MySQL;PostgreSQL;Redis;SQLite,"Data scientist or machine learning specialist;Developer, full-stack",C++;JavaScript;Python,Github;Slack;Trello,MacOS,Arduino;AWS;Google Cloud Platform;Raspberry Pi,"Another engineering discipline (such as civil, electrical, mechanical, etc.)"
2176,30447,I am a developer by profession,India,MongoDB;PostgreSQL;Redis,"Developer, full-stack",JavaScript;Ruby,Jira;Github;Slack,Linux-based,Heroku;Linux,"Computer science, computer engineering, or software engineering"
2177,30449,I am a developer by profession,India,Couchbase;MongoDB;MySQL,"Developer, desktop or enterprise applications;Developer, full-stack",Java;JavaScript;Scala;SQL;TypeScript,Jira;Slack,Linux-based,Docker,"Computer science, computer engineering, or software engineering"
2178,30450,I am a developer by profession,India,MySQL;Oracle;SQLite,"Developer, full-stack",C;HTML/CSS;JavaScript;PHP;Swift,"Jira;Github;Slack;Microsoft Teams;Microsoft Azure;Trello;Google Suite (Docs, Meet, etc)",Linux-based,Docker;Linux;Windows;WordPress,"Computer science, computer engineering, or software engineering"
2179,30457,I am a developer by profession,India,MySQL;Redis,"Developer, back-end;Developer, desktop or enterprise applications",C#,Jira;Slack;Microsoft Teams,Windows,Docker;Kubernetes;Windows,"Computer science, computer engineering, or software engineering"
2180,30468,I am a developer by profession,India,Elasticsearch;MySQL;PostgreSQL;SQLite,"Developer, back-end",Java;Python,"Jira;Github;Gitlab;Google Suite (Docs, Meet, etc)",MacOS,Linux;MacOS,"Computer science, computer engineering, or software engineering"
2181,30469,I am a developer by profession,India,MySQL;Oracle;SQLite,"Developer, back-end;Developer, front-end;Developer, full-stack;Developer, game or graphics;Developer, mobile",C#;Java;Kotlin;PHP;SQL,"Github;Gitlab;Trello;Google Suite (Docs, Meet, etc)",Linux-based,Android;AWS;Linux;MacOS;Windows,"Computer science, computer engineering, or software engineering"
2182,30472,I am a developer by profession,India,Microsoft SQL Server,"Developer, full-stack",C#;HTML/CSS;JavaScript;TypeScript,"Github;Slack;Microsoft Teams;Microsoft Azure;Trello;Google Suite (Docs, Meet, etc)",Windows,Microsoft Azure;Windows,"Computer science, computer engineering, or software engineering"
2183,30475,I am a developer by profession,India,Microsoft SQL Server;MySQL;Oracle;PostgreSQL,"Developer, full-stack",Java;JavaScript;SQL,Jira;Github,Windows,Linux;Windows,"Computer science, computer engineering, or software engineering"
2184,30476,I am a developer by profession,India,Microsoft SQL Server;MySQL;Oracle;PostgreSQL;SQLite,"Designer;Developer, back-end;Developer, full-stack",C;HTML/CSS;Java;JavaScript;SQL;VBA,"Jira;Github;Trello;Google Suite (Docs, Meet, etc)",MacOS,Google Cloud Platform;Linux;MacOS;Windows;WordPress,"Computer science, computer engineering, or software engineering"
2185,30483,I am a student who is learning to code,India,Microsoft SQL Server;MySQL,"Developer, front-end",C;C#;HTML/CSS,"Google Suite (Docs, Meet, etc);Stack Overflow for Teams",Windows,Windows,"Computer science, computer engineering, or software engineering"
2186,30488,I am a developer by profession,India,Firebase;Microsoft SQL Server;MongoDB;MySQL,"Developer, full-stack",HTML/CSS;JavaScript;SQL,Github;Gitlab,MacOS,Android;iOS;Linux;MacOS;Windows,"Computer science, computer engineering, or software engineering"
2187,30492,I am a developer by profession,India,Couchbase;MySQL;SQLite,"Developer, back-end",PHP;SQL,Jira;Github,Linux-based,Linux;Windows,Web development or web design
2188,30493,I am a developer by profession,India,MySQL,"Designer;Developer, front-end;Developer, mobile",HTML/CSS;JavaScript;SQL,Jira;Github;Slack;Stack Overflow for Teams,Windows,Android;MacOS;Windows,"Computer science, computer engineering, or software engineering"
2189,30501,I am a developer by profession,India,MariaDB;Microsoft SQL Server;MySQL,"Developer, back-end;Developer, front-end;Developer, full-stack;Product manager",HTML/CSS;JavaScript;PHP;SQL,"Jira;Github;Slack;Trello;Google Suite (Docs, Meet, etc)",Windows,AWS;iOS;Linux;Microsoft Azure;Windows;WordPress,Web development or web design
2190,30507,I am a developer by profession,India,MySQL;SQLite,"Developer, mobile",C;C++;PHP,Confluence,MacOS,iOS;WordPress,"Information systems, information technology, or system administration"
2191,30513,I am a developer by profession,India,Elasticsearch;PostgreSQL,"Developer, full-stack",HTML/CSS;Java;JavaScript;Python,Confluence;Jira;Github;Slack,Linux-based,Docker;Linux;MacOS,"Computer science, computer engineering, or software engineering"
2192,30516,I am a developer by profession,India,MySQL;Oracle;SQLite,"Data or business analyst;Data scientist or machine learning specialist;Engineer, data",Python;Scala;SQL,"Jira;Github;Google Suite (Docs, Meet, etc)",Linux-based,Windows,"Computer science, computer engineering, or software engineering"
2193,30526,I am a developer by profession,India,MongoDB;MySQL;Oracle;PostgreSQL;SQLite,"Developer, back-end;Developer, front-end;Developer, full-stack;Developer, mobile",C++;HTML/CSS;Java;JavaScript;PHP;SQL;TypeScript,Jira;Github;Microsoft Teams,MacOS,Google Cloud Platform;Linux;MacOS;Windows,"Computer science, computer engineering, or software engineering"
2194,30527,I am a developer by profession,India,Microsoft SQL Server,"Academic researcher;Developer, desktop or enterprise applications;Developer, full-stack",C#;HTML/CSS;JavaScript,Confluence;Github;Slack;Microsoft Teams,Windows,Android;iOS,"Computer science, computer engineering, or software engineering"
2195,30528,I am a developer by profession,India,MySQL,"Developer, back-end;Developer, front-end;Developer, full-stack",JavaScript;PHP,Github;Slack;Trello,MacOS,AWS,"Computer science, computer engineering, or software engineering"
2196,30529,I am a developer by profession,India,PostgreSQL,"Developer, back-end;Developer, front-end;Developer, full-stack",C;HTML/CSS;JavaScript;Ruby,Github;Slack;Trello,Linux-based,Linux,"Computer science, computer engineering, or software engineering"
2197,30536,I am a developer by profession,India,Firebase;Microsoft SQL Server;Redis,Senior executive/VP,C#;HTML/CSS;Java;JavaScript;SQL,"Confluence;Jira;Trello;Google Suite (Docs, Meet, etc)",Windows,Android;AWS;iOS;MacOS;Windows,"Computer science, computer engineering, or software engineering"
2198,30541,I am a developer by profession,India,Firebase;MongoDB;MySQL;PostgreSQL;SQLite,"Developer, full-stack;Developer, mobile;Product manager",C;C++;Dart;HTML/CSS;Java;JavaScript;PHP;Python;SQL,Github;Gitlab;Slack;Trello,Linux-based,Android;AWS;Docker;Google Cloud Platform;Linux;Windows;WordPress,"Computer science, computer engineering, or software engineering"
2199,30545,I am a developer by profession,India,MongoDB;MySQL;Redis,"Designer;Developer, front-end;Developer, full-stack;Developer, QA or test",HTML/CSS;JavaScript;TypeScript,Confluence;Jira;Github,Windows,Android,"Another engineering discipline (such as civil, electrical, mechanical, etc.)"
